"Rut","Cliente.x","NumFacturas","NumVencidas","MontoVencido","DiasMoraProm"
1,"A",31,0,0,NA
2,"B",30,0,0,NA
3,"C",31,2,94304,35
4,"D",21,0,0,NA
6,"F",25,0,0,NA
7,"G",30,0,0,NA
8,"H",31,0,0,NA
9,"I",30,0,0,NA
10,"J",18,0,0,NA
11,"K",30,0,0,NA
12,"L",30,0,0,NA
13,"M",30,0,0,NA
14,"N",32,0,0,NA
15,"O",30,0,0,NA
16,"P",31,0,0,NA
17,"Q",33,0,0,NA
18,"R",31,0,0,NA
19,"S",31,1,1372346,20
20,"T",30,0,0,NA
21,"U",30,0,0,NA
22,"V",42,0,0,NA
23,"W",30,0,0,NA
24,"X",21,0,0,NA
25,"Y",30,0,0,NA
26,"Z",30,0,0,NA
28,"AB",35,0,0,NA
29,"AC",30,0,0,NA
30,"AD",30,0,0,NA
31,"AE",31,0,0,NA
32,"AF",30,0,0,NA
33,"AG",30,0,0,NA
34,"AH",30,0,0,NA
35,"AI",30,0,0,NA
36,"AJ",30,0,0,NA
37,"AK",30,0,0,NA
38,"AL",30,0,0,NA
39,"AM",30,0,0,NA
40,"AN",30,0,0,NA
41,"AO",30,2,192379,35
42,"AP",30,0,0,NA
43,"AQ",30,0,0,NA
44,"AR",31,0,0,NA
45,"AS",31,0,0,NA
46,"AT",30,0,0,NA
47,"AU",30,0,0,NA
48,"AV",29,1,79538,20
49,"AW",28,0,0,NA
50,"AX",28,0,0,NA
51,"AY",28,0,0,NA
52,"AZ",29,0,0,NA
53,"BA",27,1,137942,20
54,"BB",27,0,0,NA
55,"BC",26,0,0,NA
56,"BD",26,0,0,NA
57,"BE",26,0,0,NA
58,"BF",26,0,0,NA
59,"BG",26,0,0,NA
60,"BH",27,0,0,NA
61,"BI",25,0,0,NA
62,"BJ",25,0,0,NA
63,"BK",26,0,0,NA
64,"BL",25,0,0,NA
65,"BM",25,0,0,NA
66,"BN",25,0,0,NA
67,"BO",25,0,0,NA
68,"BP",24,0,0,NA
69,"BQ",24,0,0,NA
70,"BR",24,0,0,NA
71,"BS",24,0,0,NA
72,"BT",24,0,0,NA
73,"BU",25,0,0,NA
74,"BV",25,0,0,NA
75,"BW",24,0,0,NA
76,"BX",24,0,0,NA
77,"BY",24,0,0,NA
78,"BZ",23,0,0,NA
79,"CA",23,0,0,NA
80,"CB",24,0,0,NA
81,"CC",24,0,0,NA
82,"CD",22,0,0,NA
83,"CE",22,0,0,NA
84,"CF",22,0,0,NA
85,"CG",22,0,0,NA
86,"CH",26,0,0,NA
87,"CI",22,0,0,NA
88,"CJ",21,0,0,NA
89,"CK",21,0,0,NA
90,"CL",21,0,0,NA
91,"CM",21,0,0,NA
92,"CN",21,0,0,NA
93,"CO",22,0,0,NA
94,"CP",21,0,0,NA
95,"CQ",20,0,0,NA
96,"CR",20,0,0,NA
97,"CS",20,0,0,NA
98,"CT",20,0,0,NA
99,"CU",20,0,0,NA
100,"CV",21,0,0,NA
101,"CW",19,0,0,NA
102,"CX",19,2,161398,35
103,"CY",19,0,0,NA
104,"CZ",19,0,0,NA
105,"DA",19,0,0,NA
106,"DB",19,0,0,NA
107,"DC",19,0,0,NA
108,"DD",18,0,0,NA
109,"DE",19,0,0,NA
110,"DF",18,0,0,NA
111,"DG",18,0,0,NA
112,"DH",17,0,0,NA
113,"DI",23,0,0,NA
114,"DJ",17,0,0,NA
115,"DK",17,0,0,NA
116,"DL",21,0,0,NA
117,"DM",17,0,0,NA
118,"DN",17,0,0,NA
119,"DO",17,0,0,NA
120,"DP",20,0,0,NA
121,"DQ",17,0,0,NA
122,"DR",16,0,0,NA
