"Rut","Cliente","NumFacturas","NumVencidas","MontoVencido","DiasMoraProm","DiasMoraMax","kpi_monto","kpi_mora","kpi_venc","score_riesgo","Riesgo"
1,"A",31,0,0,0,0,0,0,0,0,"Bajo"
2,"B",30,1,111121,5,5,0.0329040331358872,0.0746268656716418,0.333333333333333,0.105506742936103,"Medio"
3,"C",31,3,141590,36.3333333333333,67,0.0419262070329665,0.54228855721393,1,0.383649670680662,"Alto"
4,"D",21,1,233448,5,5,0.0691262743091459,0.0746268656716418,0.333333333333333,0.123617863522732,"Medio"
6,"F",25,0,0,0,0,0,0,0,0,"Bajo"
7,"G",30,1,942870,5,5,0.279193183312191,0.0746268656716418,0.333333333333333,0.228651318024255,"Alto"
8,"H",31,1,82749,5,5,0.0245028017922943,0.0746268656716418,0.333333333333333,0.101306127264306,"Medio"
9,"I",30,1,232644,5,5,0.0688882019138178,0.0746268656716418,0.333333333333333,0.123498827325068,"Medio"
10,"J",18,0,0,0,0,0,0,0,0,"Bajo"
11,"K",30,1,246830,5,5,0.0730888175856143,0.0746268656716418,0.333333333333333,0.125599135160966,"Alto"
12,"L",30,0,0,0,0,0,0,0,0,"Bajo"
13,"M",30,0,0,0,0,0,0,0,0,"Bajo"
14,"N",32,0,0,0,0,0,0,0,0,"Bajo"
15,"O",30,1,1549448,5,5,0.458806961189462,0.0746268656716418,0.333333333333333,0.31845820696289,"Alto"
16,"P",31,0,0,0,0,0,0,0,0,"Bajo"
17,"Q",33,1,472854,5,5,0.140016771667253,0.0746268656716418,0.333333333333333,0.159063112201786,"Alto"
18,"R",31,1,92680,5,5,0.0274434696505074,0.0746268656716418,0.333333333333333,0.102776461193413,"Medio"
19,"S",31,2,2747878,21,37,0.81367400190221,0.313432835820896,0.666666666666667,0.634200185030707,"Alto"
20,"T",30,0,0,0,0,0,0,0,0,"Bajo"
21,"U",30,0,0,0,0,0,0,0,0,"Bajo"
22,"V",42,0,0,0,0,0,0,0,0,"Bajo"
23,"W",30,1,52014,5,5,0.0154018626499945,0.0746268656716418,0.333333333333333,0.0967556576931564,"Bajo"
24,"X",21,0,0,0,0,0,0,0,0,"Bajo"
25,"Y",30,0,0,0,0,0,0,0,0,"Bajo"
26,"Z",30,1,18914,5,5,0.00560062348909901,0.0746268656716418,0.333333333333333,0.0918550381127087,"Bajo"
28,"AB",35,0,0,0,0,0,0,0,0,"Bajo"
29,"AC",30,1,324851,5,5,0.096191611560606,0.0746268656716418,0.333333333333333,0.137150532148462,"Alto"
30,"AD",30,1,234536,5,5,0.0694484419286944,0.0746268656716418,0.333333333333333,0.123778947332506,"Medio"
31,"AE",31,1,980604,5,5,0.290366595955612,0.0746268656716418,0.333333333333333,0.234238024345965,"Alto"
32,"AF",30,0,0,0,0,0,0,0,0,"Bajo"
33,"AG",30,0,0,0,0,0,0,0,0,"Bajo"
34,"AH",30,0,0,0,0,0,0,0,0,"Bajo"
35,"AI",30,1,76603,5,5,0.0226829100737788,0.0746268656716418,0.333333333333333,0.100396181405049,"Bajo"
36,"AJ",30,1,672730,5,5,0.199202042921729,0.0746268656716418,0.333333333333333,0.188655747829024,"Alto"
37,"AK",30,1,93152,5,5,0.0275832335442821,0.0746268656716418,0.333333333333333,0.1028463431403,"Medio"
38,"AL",30,1,471909,5,5,0.139736947769759,0.0746268656716418,0.333333333333333,0.158923200253039,"Alto"
39,"AM",30,1,82749,5,5,0.0245028017922943,0.0746268656716418,0.333333333333333,0.101306127264306,"Medio"
40,"AN",30,0,0,0,0,0,0,0,0,"Bajo"
41,"AO",30,3,288842,36.3333333333333,67,0.0855289885713406,0.54228855721393,1,0.405451061449849,"Alto"
42,"AP",30,0,0,0,0,0,0,0,0,"Bajo"
43,"AQ",30,0,0,0,0,0,0,0,0,"Bajo"
44,"AR",31,1,78021,5,5,0.0231027939749917,0.0746268656716418,0.333333333333333,0.100606123355655,"Bajo"
45,"AS",31,1,346602,5,5,0.102632298962075,0.0746268656716418,0.333333333333333,0.140370875849197,"Alto"
46,"AT",30,0,0,0,0,0,0,0,0,"Bajo"
47,"AU",30,0,0,0,0,0,0,0,0,"Bajo"
48,"AV",29,2,204844,21,37,0.0606563454584433,0.313432835820896,0.666666666666667,0.257691356808824,"Alto"
49,"AW",28,1,92680,5,5,0.0274434696505074,0.0746268656716418,0.333333333333333,0.102776461193413,"Medio"
50,"AX",28,1,92680,5,5,0.0274434696505074,0.0746268656716418,0.333333333333333,0.102776461193413,"Medio"
51,"AY",28,1,659205,5,5,0.195197155923206,0.0746268656716418,0.333333333333333,0.186653304329762,"Alto"
52,"AZ",29,1,211507,5,5,0.0626293260182333,0.0746268656716418,0.333333333333333,0.120369389377276,"Medio"
53,"BA",27,2,270483,21,37,0.0800927061014046,0.313432835820896,0.666666666666667,0.267409537130304,"Alto"
54,"BB",27,1,92680,5,5,0.0274434696505074,0.0746268656716418,0.333333333333333,0.102776461193413,"Medio"
55,"BC",26,1,45394,5,5,0.0134416148178154,0.0746268656716418,0.333333333333333,0.0957755337770669,"Bajo"
56,"BD",26,1,108850,5,5,0.0322315674520687,0.0746268656716418,0.333333333333333,0.105170510094194,"Medio"
57,"BE",26,0,0,0,0,0,0,0,0,"Bajo"
58,"BF",26,0,0,0,0,0,0,0,0,"Bajo"
59,"BG",26,0,0,0,0,0,0,0,0,"Bajo"
60,"BH",27,1,150367,5,5,0.0445251640152982,0.0746268656716418,0.333333333333333,0.111317308375808,"Medio"
61,"BI",25,1,138263,5,5,0.0409410492478215,0.0746268656716418,0.333333333333333,0.10952525099207,"Medio"
62,"BJ",25,1,185359,5,5,0.0548866431910703,0.0746268656716418,0.333333333333333,0.116498047963694,"Medio"
63,"BK",26,0,0,0,0,0,0,0,0,"Bajo"
64,"BL",25,1,92680,5,5,0.0274434696505074,0.0746268656716418,0.333333333333333,0.102776461193413,"Medio"
65,"BM",25,0,0,0,0,0,0,0,0,"Bajo"
66,"BN",25,1,114052,5,5,0.0337719313830348,0.0746268656716418,0.333333333333333,0.105940692059677,"Medio"
67,"BO",25,0,0,0,0,0,0,0,0,"Bajo"
68,"BP",24,1,755620,5,5,0.223746596216189,0.0746268656716418,0.333333333333333,0.200928024476254,"Alto"
69,"BQ",24,1,487134,5,5,0.144245221673827,0.0746268656716418,0.333333333333333,0.161177337205072,"Alto"
70,"BR",24,1,61944,5,5,0.0183422343982631,0.0746268656716418,0.333333333333333,0.0982258435672908,"Bajo"
71,"BS",24,1,123652,5,5,0.0366145868496389,0.0746268656716418,0.333333333333333,0.107362019792979,"Medio"
72,"BT",24,1,63835,5,5,0.0189021783031953,0.0746268656716418,0.333333333333333,0.0985058155197568,"Bajo"
73,"BU",25,1,47286,5,5,0.014001854832692,0.0746268656716418,0.333333333333333,0.0960556537845052,"Bajo"
74,"BV",25,1,331991,5,5,0.0983058365638928,0.0746268656716418,0.333333333333333,0.138207644650106,"Alto"
75,"BW",24,1,243142,5,5,0.0719967641105272,0.0746268656716418,0.333333333333333,0.125053108423423,"Alto"
76,"BX",24,1,99772,5,5,0.0295434813764612,0.0746268656716418,0.333333333333333,0.10382646705639,"Medio"
77,"BY",24,0,0,0,0,0,0,0,0,"Bajo"
78,"BZ",23,1,61944,5,5,0.0183422343982631,0.0746268656716418,0.333333333333333,0.0982258435672908,"Bajo"
79,"CA",23,1,85114,5,5,0.02520310181089,0.0746268656716418,0.333333333333333,0.101656277273604,"Medio"
80,"CB",24,1,1796704,5,5,0.532021921611407,0.0746268656716418,0.333333333333333,0.355065687173862,"Alto"
81,"CC",24,0,0,0,0,0,0,0,0,"Bajo"
82,"CD",22,1,87006,5,5,0.0257633418257665,0.0746268656716418,0.333333333333333,0.101936397281042,"Medio"
83,"CE",22,1,99772,5,5,0.0295434813764612,0.0746268656716418,0.333333333333333,0.10382646705639,"Medio"
84,"CF",22,1,191979,5,5,0.0568468910232494,0.0746268656716418,0.333333333333333,0.117478171879784,"Medio"
85,"CG",22,0,0,0,0,0,0,0,0,"Bajo"
86,"CH",26,1,909629,5,5,0.26935019264913,0.0746268656716418,0.333333333333333,0.223729822692724,"Alto"
87,"CI",22,0,0,0,0,0,0,0,0,"Bajo"
88,"CJ",21,1,121524,5,5,0.035984464887875,0.0746268656716418,0.333333333333333,0.107046958812097,"Medio"
89,"CK",21,1,177084,5,5,0.0524363334008464,0.0746268656716418,0.333333333333333,0.115272893068582,"Medio"
90,"CL",21,1,739591,5,5,0.219000249916793,0.0746268656716418,0.333333333333333,0.198554851326556,"Alto"
91,"CM",21,1,99772,5,5,0.0295434813764612,0.0746268656716418,0.333333333333333,0.10382646705639,"Medio"
92,"CN",21,1,163607,5,5,0.0484456596796564,0.0746268656716418,0.333333333333333,0.113277556207987,"Medio"
93,"CO",22,1,169755,5,5,0.0502661436180608,0.0746268656716418,0.333333333333333,0.11418779817719,"Medio"
94,"CP",21,1,164836,5,5,0.0488095788013706,0.0746268656716418,0.333333333333333,0.113459515768845,"Medio"
95,"CQ",20,1,351803,5,5,0.104172366783097,0.0746268656716418,0.333333333333333,0.141140909759708,"Alto"
96,"CR",20,0,0,0,0,0,0,0,0,"Bajo"
97,"CS",20,1,222714,5,5,0.0659478301655491,0.0746268656716418,0.333333333333333,0.122028641450934,"Medio"
98,"CT",20,1,26007,5,5,0.00770093132499725,0.0746268656716418,0.333333333333333,0.0929051920306578,"Bajo"
99,"CU",20,1,151313,5,5,0.0448052840227365,0.0746268656716418,0.333333333333333,0.111457368379527,"Medio"
100,"CV",21,1,99772,5,5,0.0295434813764612,0.0746268656716418,0.333333333333333,0.10382646705639,"Medio"
101,"CW",19,1,99772,5,5,0.0295434813764612,0.0746268656716418,0.333333333333333,0.10382646705639,"Medio"
102,"CX",19,3,198281,36.3333333333333,67,0.0587129758930972,0.54228855721393,1,0.392043055110728,"Alto"
103,"CY",19,1,321068,5,5,0.0950714276407973,0.0746268656716418,0.333333333333333,0.136590440188558,"Alto"
