"Cliente.x","Rut","Folio","Emisión","Vencimiento","Neto","Impuestos","Total","Monto Pagado","Notas de credito","Notas de debito","Monto Por Pagar","Moneda","Tipo","Estado","Cesión de documento","Fecha de Cesión","Factoring","Compromiso de pago","Fecha proyectada de pago","Pago","Dias de vencida","Extrajudicial","XML","División","Orden de compra","Etiquetas","Nota","Glosa","Id Externo Cliente","Plazo de pago","FechaPago","Dias_Mora","Cliente.y","Giro","Comuna","Dirección","Ciudad","Unidad","Precio Base","CRUT","MRUT","PCRUT","PMRUT","CCRN","CMRN","PCCRN","PCMRN"
"AB",28,6153,2026-01-12,2026-02-11,258639,49141,307780,307780,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"11/02/2026","19/01/2026",NA,NA,"No",NA,NA,NA,NA,NA,NA,30,2026-01-19,0,"AB","OTRAS ACTIVIDADES DE SERVICIOS FINANCIER","LAS CONDES","AVDA. EL BOSQUE NORTE 0177, OFICINA 802","SANTIAGO","UF","4.66",350,0,0.0133,"0",0,0,0,"0"
"CI",87,6148,2026-01-12,2026-02-11,166970,31724,198694,0,198694,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"11/02/2026","12/01/2026",NA,NA,"No",NA,NA,NA,NA,NA,NA,30,2026-01-12,0,"CI","VENTA AL POR MAYOR DE MATERIAS PRIMAS AG","RENCA","EL VENTISQUERO #1225, BODEGA 100","SANTIAGO","UF","4.2",5,0,0.0691,"0",0,0,0,"0"
"FZ",182,6146,2026-01-12,2026-02-11,1452655,276004,1728659,0,0,0,1728659,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"18/02/2026",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,30,NA,0,"FZ","FONDOS Y SOCIEDADES DE INVERSION Y ENTID","VITACURA","JUAN DE VALIENTE 3630, PISO 4","SANTIAGO","UF","15.28",401,0,0.0381,"0",0,0,0,"0"
"HC",211,6147,2026-01-07,2026-02-06,225176,42783,267959,267959,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"06/02/2026","20/01/2026",NA,NA,"No",NA,NA,NA,NA,NA,NA,30,2026-01-20,0,"HC","SERVICIOS DE ASESORAMIENTO Y REPRESENTAC","Las Condes","CERRO EL PLOMO 5420 OF. 503.","SANTIAGO","UF","5.68",50,0,0.1136,"0",0,0,0,"0"
"HI",217,6135,2026-01-02,2026-02-01,765308,145409,910717,0,0,0,910717,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 19,26. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 765308 MontoItem: 765308",NA,30,NA,0,"HI","ALQUILER DE EQUIPOS DE TRANSPOR","San Joaquín.","Santa Rosa 5220","Santiago","UF","2.1",25,0,0.0839,"0",0,0,0,"0"
"ID",238,6087,2026-01-02,2026-02-01,90200,17138,107338,0,0,0,107338,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 2,27. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 90200 MontoItem: 90200",NA,30,NA,0,"ID","VENTA AL POR MAYOR DE OTROS ENSERES DOME","LAS CONDES","Los Alpes 975","SANTIAGO","UF","2.27",20,0,0.1136,"0",0,0,0,"0"
"IC",237,6086,2026-01-02,2026-02-01,225023,42754,267777,0,0,0,267777,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 5,663. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 225023 MontoItem: 225023",NA,30,NA,0,"IC","VENTA AL POR MAYOR DE COMBUSTIBLES SOLID","LAS CONDES","Avenida Isidora Goyenechea N° 2915, piso 20","SANTIAGO","UF","58.5",101,6001,0.0049,"7.4000000000000003E-3",0,0,0,"0"
"IB",236,6085,2026-01-02,2026-02-01,48398,9196,57594,0,0,0,57594,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 1,218. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 48398 MontoItem: 48398",NA,30,NA,0,"IB","OTRAS ACTIVIDADES DE SERVICIOS DE INFORM","LAS CONDES","Los militares 5620 Oficina 414.","SANTIAGO","UF","0.69",10,0,0.0692,"0",0,0,0,"0"
"IA",235,6084,2026-01-02,2026-02-01,384522,73059,457581,0,0,0,457581,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 9,677. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 384522 MontoItem: 384522",NA,30,NA,0,"IA","ADMINISTRADORAS DE FONDOS DE INVERSION","Providencia.","General Calderón 121, piso 1","SANTIAGO","UF","10",6000,0,0.00167,"0",0,0,0,"0"
"HZ",234,6083,2026-01-02,2026-02-01,150956,28682,179638,0,0,0,179638,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"01/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 3,799. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 150956 MontoItem: 150956",NA,30,NA,0,"HZ","VENTA AL POR MAYOR DE VEHICULOS AUTOMOTO","Quilicura.","calle Carampangue N°1767","SANTIAGO","UF","7.85",101,0,0.0777,"0",0,0,0,"0"
